,stock_ticker,price,sma_50,sma_150,sma_200,sma_200_20_days_before,sma_200_is_up_for_months,low_of_52_weeks,high_of_52_weeks,rs_rating,is_pass_condition_1,is_pass_condition_2,is_pass_condition_3,is_pass_condition_4,is_pass_condition_5,is_pass_condition_6,is_pass_condition_7,is_pass_condition_8,is_pass_all_conditions
390,ARCB,145.34,140.47,122.2,118.19,113.08,True,83.54,151.75,84.13,True,True,True,True,True,True,True,True,True
395,ARDC,13.88,13.76,12.88,12.58,12.31,True,10.52,14.15,113.49,True,True,True,True,True,True,True,True,True
401,ARES,136.0,132.82,117.88,113.15,109.29,True,77.24,136.58,104.76,True,True,True,True,True,True,True,True,True
404,ARHS,14.51,14.13,11.16,10.96,10.4,True,6.58,16.27,97.62,True,True,True,True,True,True,True,True,True
405,ARI,10.97,10.73,10.45,10.33,10.25,True,8.15,11.93,88.1,True,True,True,True,True,True,True,True,True
412,ARMK,32.12,31.42,28.71,28.53,28.3,True,23.86,32.65,81.75,True,True,True,True,True,True,True,True,True
413,ARMN,3.98,3.32,2.98,2.83,2.7,True,2.05,3.98,82.54,True,True,True,True,True,True,True,True,True
415,AROC,19.89,18.94,15.7,14.71,13.73,True,8.71,21.08,104.76,True,True,True,True,True,True,True,True,True
417,ARQ,6.89,5.25,3.34,3.01,2.51,True,1.25,7.56,96.83,True,True,True,True,True,True,True,True,True
433,ASB,21.36,20.66,19.21,18.7,18.25,True,13.78,21.77,77.78,True,True,True,True,True,True,True,True,True
435,ASC,16.38,16.14,14.56,14.03,13.62,True,11.25,16.94,89.68,True,True,True,True,True,True,True,True,True
439,ASGN,101.0,99.19,91.98,88.92,86.49,True,63.85,104.76,95.24,True,True,True,True,True,True,True,True,True
453,ASR,337.26,306.56,268.72,268.02,264.13,True,193.64,337.26,79.37,True,True,True,True,True,True,True,True,True
484,ATKR,179.35,170.46,151.74,151.67,148.59,True,116.52,193.58,99.21,True,True,True,True,True,True,True,True,True
491,ATMU,31.2,27.58,23.65,23.54,22.52,True,18.5,33.25,93.65,True,True,True,True,True,True,True,True,True
529,AVAV,157.02,144.77,129.22,121.65,116.62,True,90.26,182.25,85.71,True,True,True,True,True,True,True,True,True
542,AVPT,7.93,7.85,7.77,7.4,7.22,True,4.1,8.5,88.89,True,True,True,True,True,True,True,True,True
546,AVTR,25.76,24.94,22.39,22.13,21.64,True,17.15,26.07,92.86,True,True,True,True,True,True,True,True,True
559,AX,51.85,51.43,46.93,46.03,44.92,True,33.36,56.88,70.63,True,True,True,True,True,True,True,True,True
565,AXP,239.06,220.2,185.6,179.95,174.79,True,140.42,239.06,100.0,True,True,True,True,True,True,True,True,True
583,AZZ,82.19,74.65,59.48,56.0,52.49,True,34.48,82.19,107.14,True,True,True,True,True,True,True,True,True
587,BAC,38.33,35.71,31.79,31.18,30.34,True,24.8,38.33,88.89,True,True,True,True,True,True,True,True,True
592,BAH,146.08,145.93,132.12,127.88,124.35,True,88.46,149.19,99.21,True,True,True,True,True,True,True,True,True
594,BALL,65.85,64.61,56.63,56.16,55.16,True,42.53,67.84,80.95,True,True,True,True,True,True,True,True,True
603,BANX,18.56,18.39,17.34,16.79,16.45,True,12.78,19.04,83.33,True,True,True,True,True,True,True,True,True
614,BBAR,9.45,7.53,5.72,5.58,5.28,True,3.61,9.45,89.68,True,True,True,True,True,True,True,True,True
617,BBDC,9.39,9.22,8.76,8.56,8.36,True,6.4,9.69,98.41,True,True,True,True,True,True,True,True,True
622,BBLGW,23.04,14.02,8.48,7.17,5.7,True,0.02,25.01,111.9,True,True,True,True,True,True,True,True,True
624,BBSI,124.12,119.72,109.52,105.22,101.83,True,77.54,126.72,103.97,True,True,True,True,True,True,True,True,True
